src,dst,sport,dport,packets,bytes,duration,avg_len,std_len,avg_win,if_pred,score
140.82.113.25,172.172.30.192,443,64249,1,70,0.0,70.0,0.0,81.0,1,0.2693740470116684
142.251.170.188,172.172.30.192,5228,64141,1,70,0.0,70.0,0.0,1046.0,1,0.27505402200991436
142.251.23.94,172.172.30.192,443,64673,1,70,0.0,70.0,0.0,1047.0,1,0.27505402200991436
157.240.199.17,172.172.30.192,443,63296,2,150,0.16041898727416992,75.0,15.556349186104045,311.0,1,0.24182864342913452
157.240.211.55,172.172.30.192,443,63297,2,193,0.15739107131958008,96.5,45.96194077712559,311.0,1,0.2209516421703177
162.159.133.234,172.172.30.192,443,61933,3,386,0.4496281147003174,128.66666666666666,88.86694173500815,19.0,1,0.133134820194878
172.172.30.192,142.251.170.188,64141,5228,1,55,0.0,55.0,0.0,510.0,1,0.25950007207004916
172.172.30.192,142.251.23.94,64673,443,1,55,0.0,55.0,0.0,509.0,1,0.24974165287843697
172.172.30.192,157.240.199.17,63296,443,2,140,0.24805378913879395,70.0,22.627416997969522,511.0,1,0.24221521123536177
172.172.30.192,157.240.211.55,63297,443,2,177,0.22942900657653809,88.5,48.79036790187178,512.0,1,0.22981935769096662
172.172.30.192,162.159.133.234,61933,443,3,280,0.6653251647949219,93.33333333333333,68.12733176437584,509.6666666666667,1,0.16868479739497422
172.172.30.192,20.42.73.25,64690,443,20,6983,1.7758898735046387,349.15,748.3068801247956,515.65,-1,-0.05444418769967985
172.172.30.192,20.42.73.25,64691,443,9,626,1.0052709579467773,69.55555555555556,8.819171036881968,457.8888888888889,1,0.09881557567727572
172.172.30.192,20.42.73.25,64694,443,9,2928,6.6574249267578125,325.3333333333333,583.0934744961565,7597.111111111111,-1,-0.002357104131232579
172.172.30.192,35.228.14.46,64168,443,1,55,0.0,55.0,0.0,510.0,1,0.25950007207004916
172.172.30.192,8.8.4.4,64695,53,1,66,0.0,66.0,0.0,64240.0,1,0.2117552313022782
172.172.30.192,8.8.4.4,64696,53,1,66,0.0,66.0,0.0,64240.0,1,0.2117552313022782
172.172.30.192,8.8.4.4,64697,53,1,66,0.0,66.0,0.0,64240.0,1,0.2117552313022782
172.172.30.192,8.8.4.4,64698,53,1,66,0.0,66.0,0.0,64240.0,1,0.2117552313022782
20.42.73.25,172.172.30.192,443,64690,17,6940,1.7335679531097412,408.2352941176471,243.35943823174517,16384.176470588234,1,0.010611465665291142
20.42.73.25,172.172.30.192,443,64691,10,5410,1.1043670177459717,541.0,167.6007159889241,16383.0,1,0.021046808066618405
20.42.73.25,172.172.30.192,443,64694,8,3128,6.398956060409546,391.0,256.1149295586986,22527.75,1,0.009428416524930539
35.228.14.46,172.172.30.192,443,64168,1,70,0.0,70.0,0.0,511.0,1,0.2845313310882416
8.8.4.4,172.172.30.192,53,64695,1,70,0.0,70.0,0.0,65535.0,1,0.18349039677570977
8.8.4.4,172.172.30.192,53,64698,1,70,0.0,70.0,0.0,65535.0,1,0.18349039677570977
